PDF URL,MOV URL
"https://www.justice.gov/epstein/files/Court Records/Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)/EFTA02732006.pdf","https://www.justice.gov/epstein/files/Court Records/Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)/EFTA02732006.mov"
"https://www.justice.gov/epstein/files/Court Records/Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)/EFTA02732310.pdf","https://www.justice.gov/epstein/files/Court Records/Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)/EFTA02732310.mov"
"https://www.justice.gov/epstein/files/Court Records/Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)/EFTA02732313.pdf","https://www.justice.gov/epstein/files/Court Records/Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)/EFTA02732313.mov"
"https://www.justice.gov/epstein/files/Court Records/C.L. v. Epstein, No. 910-cv-80447 (S.D. Fla. 2010)/EFTA02732341.pdf","https://www.justice.gov/epstein/files/Court Records/C.L. v. Epstein, No. 910-cv-80447 (S.D. Fla. 2010)/EFTA02732341.mov"
"https://www.justice.gov/epstein/files/Court Records/C.L. v. Epstein, No. 910-cv-80447 (S.D. Fla. 2010)/EFTA02732380.pdf","https://www.justice.gov/epstein/files/Court Records/C.L. v. Epstein, No. 910-cv-80447 (S.D. Fla. 2010)/EFTA02732380.mov"
"https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02732800.pdf","https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02732800.mov"
"https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02734498.pdf","https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02734498.mov"
"https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02734599.pdf","https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02734599.mov"
"https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02734608.pdf","https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02734608.mov"
"https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02734642.pdf","https://www.justice.gov/epstein/files/Court Records/CA Florida Holdings, LLC, Publisher of the Palm Beach Post v. Aronberg, No. 50-2019-CA-014681-XXXX-MB (Fla. 15th Cir. Ct. 2019)/EFTA02734642.mov"
